genre,paintings,name
Expressionism,193,Amedeo Modigliani
"Expressionism,Abstractionism",88,Vasiliy Kandinskiy
"Social Realism,Muralism",70,Diego Rivera
Impressionism,73,Claude Monet
"Surrealism,Impressionism",194,Rene Magritte
Surrealism,139,Salvador Dali
"Realism,Impressionism",90,Edouard Manet
Byzantine Art,99,Andrei Rublev
Post-Impressionism,877,Vincent van Gogh
"Symbolism,Art Nouveau",117,Gustav Klimt
Northern Renaissance,137,Hieronymus Bosch
Suprematism,126,Kazimir Malevich
Symbolism,171,Mikhail Vrubel
Cubism,439,Pablo Picasso
Baroque,141,Peter Paul Rubens
Impressionism,336,Pierre-Auguste Renoir
Romanticism,291,Francisco Goya
"Primitivism,Surrealism",120,Frida Kahlo
Mannerism,87,El Greco
Northern Renaissance,328,Albrecht Dürer
Impressionism,259,Alfred Sisley
Northern Renaissance,134,Pieter Bruegel
Primitivism,239,Marc Chagall
Proto Renaissance,119,Giotto di Bondone
Early Renaissance,164,Sandro Botticelli
Baroque,55,Caravaggio
High Renaissance,143,Leonardo da Vinci
Baroque,128,Diego Velazquez
"Impressionism,Post-Impressionism",186,Henri Matisse
Northern Renaissance,81,Jan van Eyck
Impressionism,702,Edgar Degas
Baroque,262,Rembrandt
"High Renaissance,Mannerism",255,Titian
Post-Impressionism,81,Henri de Toulouse-Lautrec
Realism,59,Gustave Courbet
"Impressionism,Post-Impressionism",91,Camille Pissarro
Romanticism,66,William Turner
"Symbolism,Expressionism",67,Edvard Munch
Post-Impressionism,47,Paul Cezanne
Romanticism,31,Eugene Delacroix
Primitivism,70,Henri Rousseau
Post-Impressionism,43,Georges Seurat
"Expressionism,Abstractionism,Surrealism",188,Paul Klee
Neoplasticism,84,Piet Mondrian
Surrealism,102,Joan Miro
Pop Art,181,Andy Warhol
"Symbolism,Post-Impressionism",311,Paul Gauguin
High Renaissance,109,Raphael
High Renaissance,49,Michelangelo
Abstract Expressionism,24,Jackson Pollock
