genre,paintings,name
Expressionism,1930,Amedeo Modigliani
"Expressionism,Abstractionism",880,Vasiliy Kandinskiy
"Social Realism,Muralism",700,Diego Rivera
Impressionism,730,Claude Monet
"Surrealism,Impressionism",1940,Rene Magritte
Surrealism,1390,Salvador Dali
"Realism,Impressionism",900,Edouard Manet
Byzantine Art,990,Andrei Rublev
Post-Impressionism,8770,Vincent van Gogh
"Symbolism,Art Nouveau",1170,Gustav Klimt
Northern Renaissance,1370,Hieronymus Bosch
Suprematism,1260,Kazimir Malevich
Symbolism,1710,Mikhail Vrubel
Cubism,4390,Pablo Picasso
Baroque,1410,Peter Paul Rubens
Impressionism,3360,Pierre-Auguste Renoir
Romanticism,2910,Francisco Goya
"Primitivism,Surrealism",1200,Frida Kahlo
Mannerism,870,El Greco
Northern Renaissance,3280,Albrecht Dürer
Impressionism,2590,Alfred Sisley
Northern Renaissance,1340,Pieter Bruegel
Primitivism,2390,Marc Chagall
Proto Renaissance,1190,Giotto di Bondone
Early Renaissance,1640,Sandro Botticelli
Baroque,550,Caravaggio
High Renaissance,1430,Leonardo da Vinci
Baroque,1280,Diego Velazquez
"Impressionism,Post-Impressionism",1860,Henri Matisse
Northern Renaissance,810,Jan van Eyck
Impressionism,7020,Edgar Degas
Baroque,2620,Rembrandt
"High Renaissance,Mannerism",2550,Titian
Post-Impressionism,810,Henri de Toulouse-Lautrec
Realism,590,Gustave Courbet
"Impressionism,Post-Impressionism",910,Camille Pissarro
Romanticism,660,William Turner
"Symbolism,Expressionism",670,Edvard Munch
Post-Impressionism,470,Paul Cezanne
Romanticism,310,Eugene Delacroix
Primitivism,700,Henri Rousseau
Post-Impressionism,430,Georges Seurat
"Expressionism,Abstractionism,Surrealism",1880,Paul Klee
Neoplasticism,840,Piet Mondrian
Surrealism,1020,Joan Miro
Pop Art,1810,Andy Warhol
"Symbolism,Post-Impressionism",3110,Paul Gauguin
High Renaissance,1090,Raphael
High Renaissance,490,Michelangelo
Abstract Expressionism,240,Jackson Pollock
